1,397,9,3
2,351,3,1
3,980,18,5
4,770,3,4
5,899,26,3
6,650,5,7
7,436,5,3
8,383,26,4
9,927,14,3
10,921,18,5
11,484,29,2
12,844,11,3
13,721,12,7
14,188,24,4
15,291,5,1
16,708,12,3
17,448,8,10
18,312,14,9
19,368,21,7
20,251,29,5
21,260,8,3
22,338,23,4
23,800,22,8
24,452,10,5
25,477,7,3
26,874,16,5
27,995,13,5
28,321,21,7
29,93,6,5
30,624,11,5
31,614,29,8
32,659,21,6
33,380,12,2
34,420,26,3
35,168,5,2
36,47,29,4
37,684,2,7
38,625,14,6
39,653,29,10
40,501,9,10
41,56,3,10
42,246,15,7
43,742,11,1
44,432,10,7
45,792,12,9
46,950,3,3
47,1,2,5
48,880,28,7
49,922,8,2
50,499,15,8
51,534,28,8
52,702,27,6
53,779,7,10
54,805,17,1
55,153,3,10
56,400,3,7
57,114,12,1
58,962,6,10
59,611,14,9
60,833,28,5
61,471,17,2
62,495,17,7
63,742,26,10
64,171,16,7
65,150,10,3
66,202,13,9
67,196,2,1
68,377,11,5
69,636,17,3
70,1,1,3
71,913,2,2
72,82,20,4
73,162,13,3
74,484,27,1
75,942,15,4
76,883,12,9
77,771,10,4
78,729,18,4
79,320,2,2
80,858,9,7
81,429,29,5
82,714,23,4
83,434,9,10
84,775,20,3
85,741,2,10
86,855,1,3
87,474,10,5
88,628,5,4
89,676,19,6
90,622,5,5
91,199,22,6
92,156,3,3
93,918,12,8
94,909,4,10
95,721,19,7
96,563,8,5
97,134,28,10
98,638,5,5
99,848,12,6
100,533,26,6
101,63,1,10
102,71,13,3
103,145,3,3
104,325,10,6
105,470,9,3
106,414,12,9
107,362,27,2
108,43,8,4
109,664,19,7
110,985,12,2
111,941,1,2
112,78,3,5
113,397,16,7
114,80,4,1
115,683,13,2
116,504,24,1
117,791,24,1
118,534,16,9
119,198,11,10
120,374,3,2
121,536,13,7
122,55,1,5
123,649,20,1
124,169,12,1
125,8,17,1
126,793,5,2
127,198,20,9
128,904,10,5
129,987,6,2
130,189,21,7
131,65,4,9
132,420,15,3
133,702,17,3
134,932,2,3
135,247,27,8
136,779,23,6
137,763,27,5
138,917,17,4
139,327,29,4
140,488,15,8
141,558,11,10
142,236,19,7
143,958,1,5
144,312,5,6
145,603,12,3
146,228,19,8
147,391,9,10
148,532,14,9
149,128,19,2
150,72,9,9
151,628,22,7
152,522,27,6
153,969,18,7
154,350,27,2
155,464,24,2
156,988,26,10
157,322,24,4
158,271,15,4
159,854,18,8
160,647,3,3
161,569,5,9
162,517,6,10
163,764,26,10
164,54,7,10
165,753,28,6
166,304,17,5
167,653,8,8
168,726,25,3
169,125,8,4
170,720,2,2
171,718,4,6
172,607,10,2
173,508,26,10
174,153,2,1
175,465,18,8
176,929,23,7
177,878,13,2
178,50,25,3
179,331,25,7
180,7,1,10
181,245,5,9
182,360,7,4
183,831,5,9
184,770,13,6
185,514,3,5
186,392,8,3
187,388,11,8
188,57,15,5
189,701,4,9
190,400,7,8
191,581,13,10
192,934,5,4
193,537,29,8
194,733,1,3
195,725,3,6
196,366,15,9
197,894,2,9
198,51,27,4
199,219,21,2
200,732,6,1
201,759,14,6
202,484,12,7
203,574,27,1
204,138,28,7
205,815,19,4
206,501,21,3
207,452,19,7
208,391,27,7
209,996,18,9
210,753,12,3
211,439,19,2
212,681,23,3
213,497,7,10
214,752,11,10
215,723,24,3
